댓글 작성자,영상 시간,댓글 내용
Trashley Fellers,1:23,yes!!
Gen Giovannone,1:29,❤
Hannah Andrews,1:29,Morning!
nodhill,1:29,"There were protest in Berlin yesterday, the world has an opinion and is watching..."
Jeanna*Gina* Sewell,1:29,Good morning everyone!
Ezgi A,1:30,GM!
emysupernova,1:31,"Yes around the world, not just in the US Jen"
Y X,1:34,Hello everyone. Greetings from Norway. Sending love to all of the people affected.
Angela Curry,1:34,Talk about the good and the people that we can lift up and joy we can bring
alyx kahl,1:36,hi hey. I was at a protest yesterday and I think it would be great to try your best and share peaceful protests if you see them scheduled! <3
Kristen,1:37,my heart is 💔 and I'm ashamed of my race!
Marti Hurford,1:38,Thank You for donating.
Sarah's Nail Secrets,1:41,Hi!
Peanut Ann,1:42,Morning! Yes the state of the US is a bit worrisome
Mary Dixon,1:46,I am here
Jenny K,1:47,Good morning collective brain ❤
PeachyKyna,1:47,I have to stay off tiktok because it’s all so heartbreaking
Myndie,1:51,Thank you Jen. From Minneapolis
DazedAnd Confuzed,1:52,Revolution is Necessary
Magan Schwandt- Morgan,1:57,good morning!!
Noa Shaindlinger,1:57,"not riots, protests"
makeupmomma 911,1:58,thank you Jen
Joanna Rivera,2:03,Good Morning watching two things jen and astronauts docking at the space station
Tara Breeden,2:03,"I know, it just breaks my heart!"
Naomi B,2:03,Good morning everyone. i'm so sad today
Machteld Sofia,2:08,Sending to you all lots of love ❤
Nicole Banker,2:08,I wish the world could heal. it's so sad 😔
Tonja Watts,2:09,Good morning I hope everyone is doing the best they can.
Tia Ayoroa,2:09,"Good Morning. My heart hurts today, but I hope some good can come from all of this pain."
Teresa Niswander,2:09,Protests went violent in Fargo ND last night. Too close to home for me.
Shirley,2:13,"We can all take this time to enjoy each other and remind each other to be kind, love each other my friend 💗🤗"
Debbie Shuta,2:13,I agree. Me as well. It’s been bubbling for so long
Michael Diamond,2:14,i escape life by watching YouTube and when I get on YouTube I see what I don’t want to I can’t anymore
Jen Fangirl,2:28,Good Morning from Denver. My heart is heavy.
Robin P,2:28,Good Morning Jen 🥳
Marlene,2:30,"what's up in the US sparks anti-racist movements all over the world. we are watching and doing the work ourselves, too."
Ezgi A,2:30,Hey hey!
Robby Robby,2:31,good morning Jen and everyone
OmniBlast,2:33,Greetings everyone!! 💜
Teresa Maldonado,2:37,Trevor’s commentary made me cry. Perfect statement.
Miranda Stephens,2:37,i don't have riots or protests out my door either but there are several in my state of texas.
nodhill,2:38,trevor is the bomb
Phyrra Nyx,2:42,Trevor Noah explained it very well
Unapologetically Mocha,2:44,Love Trevor Noah
Shannon Howell,2:45,Hello
Donnabelle Hutt,2:46,so sad
Emilia Gotlieb,2:46,I live in Australia and watching every thing on the news and it seems so unfathomable...
Marvalous,2:46,Hey
Melissa Fallenstein,2:47,"Im in Minneapolis, lots of riots everywhere"
Lisa Aburumman,2:47,😞😔
kibarra96,2:48,Good Morning
Cinthia S-G,2:49,helloooo :)
Tiffany PK,2:49,Trevor’s video was very wonderfully put.
Jina Piccalo,2:50,hi Jen
TheLadyPsyche,2:50,morning
scruffnboo2,2:51,Hi aunt jen it’s ruby
Stephzilla,2:51,morning
All About Jisu,2:55,one positive thing is the amount of people speaking in support of the people also please don't call it riots. languages matter and there's no reason to call it a riot when we call all others protest
Liberty Jay,2:55,Good morning
Alicia Brodie,3:00,"Good morning, Jen!"
Tracie 3,3:05,Good Morning! 💕💕
COLLEEN KESSLER RN,3:06,I always knew you were a smart
Amber G,3:06,Good morning Loves
Mary Dixon,3:09,The Daily Show should not be the way you get your news but it's better than nothing
Wubqueen,3:16,My small city burned last night. Rochester NY. Going to go help clean up
Myndie,3:17,Watching you from Minneapolis today. Need a distraction
Aisha Khalil,3:25,Love trevor noah
Miranda Stephens,3:29,hello ruby!
OmniBlast,3:38,"@Phyrra Nyx omg, hello! I've been subbed to you for AGES! Great to see you here. 💜🖤"
Shirley,3:40,Good Morning @stephzilla I’ve missed you!!
Jessie J,3:41,"hey myndie, me too! heavy heart today"
Cosmic Slice,3:45,I'll have replay the video a couple of times today
Maria D,3:48,Malcolm Gladwell is so good! I love his books
Phyrra Nyx,3:52,@OmniBlast hii!
Wubqueen,4:02,My city is in shambles. I am heartbroken
Tinytitan50,4:08,"Riots in Eugene Oregon, 70 miles away. Can’t understand this. So very sad. ANTIFA is everywhere."
Trisha,4:08,I highly recommend watching the entire video!
Jenny K,4:09,I watched this last night and was so moved.
nodhill,4:13,protests have resulted in rioting but the protests dont equal riots/looting.
Gulfam Ahmed,4:17,hi from India love u
Jayne Lim,4:25,trevor noah is such an intelligent and thoughtful person who expresses himself so well
Miranda Stephens,4:31,@robby robby it is a private charity i believe. it's definitely not a youtube charity
Mel,4:32,I know it’s so hard. My heart has been heavy all week. Love Trevor Noah.
MeghanKat,4:36,I'm in Chicago and these riots are honestly so terrifying
Phyrra Nyx,4:37,Here in Tampa I think the authorities made things go violent
Reen Campbell,4:38,"My city, Philadelphia, also burning....they weren’t protesting"
Leslie Ann,4:38,the video is longer. if y'all can watch the whole thing do it please
salty stella,4:42,"so happy I'm here early I usually don't get in until 10:30 Sundays. I'm sure today chatr will be very important, I'm excited. love when you talk and the real issues Jen!"
Paula cr,4:49,hi from Brazil 🤗🤗🤗
Noa Shaindlinger,4:57,"Laurie Neilsen: Antifa means anti fascist. We should all be anti fascists. Also, those are not riots. These are protests."
OmniBlast,4:57,@Phyrra Nyx I bought a spiked heart from Bunny Paige because of you! lol I love it.
Gen Giovannone,5:10,from Philly too. everything I'm seeing here is heartbreaking
Nicole Banker,5:12,also in Chicago.. I'm terrified for everyone here and everywhere else 😔
Miranda Stephens,5:22,im so sorry for everyone who has lost their cities. it's really been crazy. im lucky my city hasnt been effected... at least so fsr
Reen Campbell,5:31,"NOA.... in my city, they are riots..started in protest, ended in riots"
Phyrra Nyx,5:32,@OmniBlast so glad you love them!
Mary Dixon,5:37,Anti-fascist is good. It is American. It is what the good guys are in every movie or tv show you have ever seen.
Gulfam Ahmed,5:46,my question is why girls were short clothing is there are disrespecting there religion what?
Cosmic Slice,5:47,"When Sandra Bland died it spurred Malcolm Gladwell to write his new book ""Talking to Strangers"". It really is a must read."
Robby Robby,5:48,I mean the decision that it's not a charity is that YouTube saying they don't recognize it as a charity or is it the government saying they don't recognize it as a charity
lesley henry,5:50,"We have to use our voice to speak out, educate ourselves by listening to our black brothers and sisters, pray for guidance, always look for the good in others and love unconditionally."
Maria D,5:51,🙏💕
Tracie 3,5:52,There is a big difference between Protesting to bring awareness peacefully and Rioting which definitely is defeating the purpose of those trying to get their message across peacefully..
GingerJeanie,5:58,"I watched the entire video from Trevor Noah, and it was so good. He expressed emotion with intelligence and self-control, which makes it so effective."
COLLEEN KESSLER RN,5:59,Trevor is awesome
Noa Shaindlinger,6:00,Reen - the police are rioting. Not the people.
Gen Giovannone,6:03,"I agree there's no ""right"" way to protest. you just never want to see violence of any kind."
Tinytitan50,6:06,@ Nola protests doesn’t mean to destroy what is not yours.
ericabarbz,6:06,There were “opportunist” creating havoc amongst the protesters
Angela Curry,6:13,"Why can't we just love each other , since we can't we can lead with Love and Justice and use our voices for others are can't be heard"
Jenny K,6:16,I'm hearing more and more that the actual protesters are NOT the ones looting and burning.
Michael Diamond,6:21,why is YouTube become a negative hell hole when so many people come to be happy?
Luanne Santos,6:23,"The cops in New Jersey are walking with the protesters. They have signs, brought water and food for everyone"
Mayra L,6:36,The ending of that clip was better in terms of explaining the reason for the riots
Phyrra Nyx,6:37,Riot is the language of the unheard.
Angela Curry,6:39,"Ignore the looting , its the murder that we need to pay attention to"
mariecm,6:41,The people who are looting aren't protesters
Glass Caedmon,6:41,"All of this is heartbreaking. I’m protesting Tuesday. Down here, the people looting are using this as an opportunity and aren’t even protesting in the designated areas"
Tinytitan50,6:46,Sorry now
ALXSSA,6:46,A lot of the people looting and rioting are not black. Remember that.
Noa Shaindlinger,6:47,looting and vandalizing are political acts. Weapons of the weak against the powerful.
Kimber Corbitt,6:57,Peaceful protests have not worked...ie nfl kneeling
ThisIsMeMorgan,6:57,These people are also being egged on by police
Tara Breeden,7:04,I'm more of a hippie lol I just want love why can't everyone get along?
Reen Campbell,7:04,NOA... I was there.... they were screaming “shoot the white person” as they burned people’s homes. People were stabbed...
Debbie Shuta,7:11,There will be ppl that take advantage of chaos. But there is a real injustice here.
Chris Leeds,7:14,destruction is never good but I 100% understand why this is happening
Wendy Horvath,7:14,Good morning ☀️ Jen
Phyrra Nyx,7:19,Support the people. Listen. Be teachable.
Mary Dixon,7:20,The people who are looting and being violent are being spurred by the boogalo/igloo/luau freaks
Miranda Stephens,7:23,i wish people could just do peaceful protesting... I am not poc so I cant say it is wrong how they're doing it but I just wish we could go about this peacefully...
mariecm,7:23,There's actual protests going on alongside the looting they're calling them all riots to convince us there's no reason to protest
Paula Kauffman,7:24,"We have had the Civil Rights Movement, why must we repeat the cycle?!?"
OmniBlast,7:28,"I'm just so saddened by everything going on. We are all connected. The sooner will realize that, the better this world will be. I love everyone, my heart goes out to everybody. Spread peace"
Jill J,7:29,There were white supremecists handing out leaflets in Dayton during the protests.
Crystal Rapose,7:29,"we had a peaceful protest in our city, I'm sure the business owners were scared seeing what happened in many other cities. I'm proud that my neighbor's were respectful"
Jannelle Moreno,7:30,when your looting your own community that's not justice..
Tracie 3,7:32,Rioting causes more fear...
Marti Hurford,7:38,"Jen, did you hear what the Mayor of Atlanta say? Very Powerful."
LaNae Reinertsen,7:40,Exactly Jen. This isn't the first time we've had rioting due to racial injustice
Glass Caedmon,7:40,I’m doing what I can and supporting people around me. We can peacefully protest and vote
Noa Shaindlinger,7:42,"the real looters are the corporations and the rich, not the people who go into a taregt to grab pillows."
misssssshell,7:42,Collective Brain Elite에 오신 것을 환영합니다
K M,7:43,it's all because of those 4 people causing the death of a man. if only cheeto boy think well and stop the ignorance. people protesting because they're hurt.
Angie Rice,7:43,change will never happen under this administration
Maria D,7:47,I agree. This continues to go round and round. This needs to stop. These officers need to be held accountable. 😔
Melissa Pellegrin,7:48,Good morning
Tinytitan50,7:52,Darn autocorrect... Noa
Trashley Fellers,7:52,"in Mpls/St.Paul, they have confirmed a majority of ""looting"" arrests have tied to white supremacists groups & organized crime"
Home Team,7:53,"I don’t blame them one bit at all, I think also keeping the country locked down for 3 months has added to people anger and frustration. Enough is enough of racism and of being locked up"
Angela Curry,7:57,Listen and try to help where you can
Heather Rubino,8:03,"As white women we have the duty right now, IMO, to make the change... we have iNFLUENCE"
Phyrra Nyx,8:03,"people tried peaceful protesting, the cops shot at them with rubber bullets, they sprayed pepper spray on kids, they drove a car into people"
Briana Schino,8:04,Morning! I was watching your other video but I’m here now
AD,8:09,"Sadly, but peacful protests doesn't help. It's so so sad,"
Temitime_faces,8:10,"Guys stop making excuses for the looting, yes many of the real protesters are gaianst looting and the rioting but the people looting and rioting are of all races. They don’t care about the cause,"
Tiffany PK,8:11,There are factions that would see us all destroyed and will use this as an opportunity to garner more hate on both sides. Resist that.
Monika luvs beauty420,8:11,"there is a difference between rioting and protesting. almost all of this started as protests, are ending in horrible sad dangerous rioting, how does that help??"
tina,8:17,the police are instigating alot of the violence.
Home Team,8:19,Good morning
Temitime_faces,8:20,They are just opportunist.
Home Team,8:23,Good morning
Wendy Horvath,8:26,688 watching and only 74 💙👍🏻
Mags M,8:26,I understand I will never understand but I stand.
Mariah Beverage,8:30,I hope people are actually listening now.
Melissa Fallenstein,8:39,There is a quote from Benjamin Franklin that is something like... change cant happen until the ineffective are as mad as the effective
misssssshell,8:42,<3
Angela Curry,8:43,We need to focus this chat on something joyful that brings us all together
Elaine Bines,8:44,hi mods and guys
Jeanna*Gina* Sewell,8:51,"my opinion and I am allowed, we can agree to disagree, burning down your community is wrong. you are hurting the people that live in your community, their livelihoods."
Monika luvs beauty420,8:56,not all officers are making this worse.
K M,9:06,i have friends got hurt for peaceful protestants. the cops threw tear gas and used batons. for what?
Miranda Stephens,9:07,I think we should try to have a mostly light chat today. its going to be hard but i hope we all can have an hour where we can just have fun
Alina N,9:09,We’ve abandoned the core issue...it’s time for people from all sides to sit down and figure out how this can be fixed.
Jenny K,9:11,Here's the thing... peacefully protesting never seems to make a significant change. You have to scream in this country to be heard
GingerJeanie,9:12,"@Melissa Fallenstein, good quote!"
Trashley Fellers,9:14,most protesters WERE peaceful. many of the worst agitators in Mpls are White Supremacists!
Maria D,9:17,"But these protests always happen and things aren’t changing. So, I can understand why all this anger is coming from."
Robyn,9:18,Is it ok to ask where Tati is? Is it ok if I go off topic
Crystal Rapose,9:18,looting and destruction of businesses invalidated any message the protests are trying to get across
Anna Harper,9:21,I live in Minneapolis. The riots aren’t from the protestors anymore. Palettes of bricks are showing up around town. This is organized now to discredit the protests
Phyrra Nyx,9:23,Because people of color are still being murdered.
Michael Diamond,9:25,YouTube is hell now the world has always been dark it’s not just right now
Melanie Scott,9:26,how is this still happening in 2020!??! more love - less hate
JuliaGoes,9:28,“Riots are the voice of the unheard? So what has America failed to hear?” -MLK jr.
Mayra L,9:29,"The societal contract is not respected and is broken for black people. So if you see the riots as difficult to see, imagine seeing the injustice occur to black people as a BLACK PERSON."
tina,9:35,riots are the language of the unheard. Martin Luther King Jr said that....
inkuspm,9:36,"Grief, anger and the murder can cause people to rebel. They are in a blind rage. Consider the emotional impulse. i don't condone but understand. Like if a car is on your child, you somehow lift it.💗"
Mags M,9:37,I understand I will never understand but I stand.
Pretty Accountant,9:39,I need everyone to keep this energy and vote in November.
greeneyes92061,9:40,I know this is a big issue for everyone involved. Came here this morning to hear about makeup and the makeup industry....
Shannon Weisse,9:40,"Morning! I can’t stay on long today, but my family and I have been discussing this issue and we have had some great conversations."
Tianna Ouellette,9:44,"I agree there is no right way to protest, thank you for opening the chat up for everyone to talk"
A.K. C.,9:45,"It’s easy to say we are all connected, but we aren’t all TREATED the same, that’s the problem."
Briana Schino,9:47,Theres been a lot of speculation on Tati
Home Team,9:48,I don not blame the people doing those things one bit
K. Jefferson,9:51,"Hello from San Antonio Texas, the protest here yesterday started off with prayer and was peaceful until late last night out of oft owners came in and began destroying property."
Monika luvs beauty420,9:52,target stores are closing temporarily because of this
Makeup with Mia,9:53,if only people cared as much about human life as they do about a Target store.
Melissa Pellegrin,9:53,Dallas had riots and one man was kicked and stoned
JenUnboxed,9:57,"My initial thoughts on this of ""oh no, I can't believe this is happening again"" is an extension of my white privilege. I saw it as something happening again, but the reality is, it never stopped."
Graciela,9:57,"Jen, you have such wisdom"
Giulia Blue,10:03,"Property can be repaired, human lives can't. I think if that's what it takes to be heard, then that's what it takes."
Heather Rubino,10:04,"We need to, as white women, influence other white women..."
Monika luvs beauty420,10:05,BUT burning and rioting???
Gina Marie Conway,10:08,I remember the Freddie gray riots 😢 seems like that was just yesterday
Michael Diamond,10:09,the lockdown really got to that cop honestly
Mel,10:09,I’ve been hearing peaceful protestors are being assaulted by police. Looters are taking advantage of the situation. Destroying the efforts of a peaceful protest. police brutality needs to stop! Now!
Mayra L,10:10,The end of the Trevor Noah clip explains it better.
Ameerah Muhammad,10:10,Buildings can be rebuilt. The black lives lost cannot. And it’s telling how many people are more outraged about PROPERTY than they are about LIVES.
Nikki Crayons,10:12,oh im only 10 min late!
Noa Shaindlinger,10:12,"Nike is not ""your own community"""
Jessica Seyfried,10:12,"@nerdlingful If you’re here, I missed you guys Friday 🦈"
Wendy Horvath,10:16,What good is it to destroy your own city .
Debbie Hart,10:18,BEAUTIFUL JEN!!!!!!!!!!!!!!!! This is frightening... we need PEACE & LOVE in this new Rona world!!!!!!!!!! 🌎 🙏🙏🙏🙏🙏🙏🥰
Mary Dixon,10:19,yep they are there
Bakery Mafia,10:21,i agree with Giulia Blue
Ashley l,10:25,I just wish the riots weren't in their neighborhoods.... minorities are employed by these places
Jessica Rodriguez,10:28,"Miami started peacefully.. then it turned into chaos and people vandalizing , stealing etc."
Phyrra Nyx,10:32,The looting is justified. The Target refused to sell supplies to the peaceful protestors who were sprayed with pepper spray
nodhill,10:32,Who is doing the looting? We dont really dont know....
ThisIsMeMorgan,10:33,“A riot is the language of the unheard” -MLK
nerdlingful,10:37,Hi Jess. We missed you too
Debbie Shuta,10:37,There is also this element of suffering due to corona and so ppl are already coming from a place of hurt
Trashley Fellers,10:38,businesses are insured. they can rebuild. you can't bring someone back to life
mariecm,10:39,looting is happening ALONGSIDE protests...they aren't the same thing: 2 diff groups of pple doing these things
Jennifer Ruiz,10:45,the people rioting arent black people... the majoirty are white supremasts
Rose Schumaker,10:46,the looters are not locals. this happened before when there was looting here in Oaklamd.
Elizabeth Lee Goodman,10:46,I live in Memphis. We've had four nights of peaceful protests. I'm very proud of my city.
ChloeTKMakeup,10:52,From what I’ve seen online a lot of the looting is coming from white opportunists rather than black individuals - people need to watch who they are blaming
Gina Marie Conway,10:55,They tried peaceful protesting. They got scrutinized for taking a knee so how are they supposed to get people to hear them?
Read's Beauty Tripp,10:55,this officer had assaulted another civilian who was white a few months ago if administration had dealt with him then a different outcome
Elaine Bines,10:57,"My heart broke when i heard him call out for his mama. Thank goodness it was recorded, even though distressing to hear and watch"
MamaGoony,10:59,morning everybody!
Holly Kirklighter,10:59,"I am old enough to remember the Rodney King riots, I remember them well. Until this past march, spring 1992 was the last time school was canceled for non weather. Folks have had enough. Time 4 change!"
Rachel Friez,11:00,"I am just so confused. Peaceful protests seem good, but being in crowds at this time isn't great. I just don't know what to promote."
Gen Giovannone,11:01,"things can be replaced, people can't"
Temitime_faces,11:11,"This isn’t about target or the big stores, they are destroying their neighbors businesses so please enough of the excuses."
Michael Diamond,11:11,the thing is people die every day without announcing it why should the whole county have to suffer because of this
All About Jisu,11:13,"it's ridiculois to see people valuing inanimate objects over a person's life, when we have a president sanctioning shooting over material goods what has this country come to"
K. Jefferson,11:15,As a person of color I don't approve of the destruction of property or violence. We are hurt and frustrated and people are coming unhinged.
Ameerah Muhammad,11:15,And btw - police are escalating peaceful protests by shooting rubber bullets and pepper spraying children.
Nancy,11:16,Would a peaceful protest be taken serious? 🤔
Marti Hurford,11:16,To watch a cop car drive thru a crowd in NYC was mind blowing I’m waiting for accountability.
Angela Sulik,11:17,❤️
PeachyKyna,11:22,The first thing I saw this morning was a video of Columbus police spraying tear gas directly in the face of sitting and peaceful protestors. That is wrong.
Teresa Maldonado,11:30,Thank you Jen
Becky Bornstein,11:31,I run 4 businesses in MPLS and what’s happening is scary overnight . During the the day mostly peaceful and caring but a war zone at night.
AD,11:31,Young people needs to VOTE
Natasha Lusk,11:31,"If it happened to someone you loved, would want to burn the city to the ground? I wouldn't just want to, I would."
Machteld Sofia,11:33,I cannot believe how a President can be so biased
Amber M,11:33,Logan Paul posted videos of him looting stores
Mayra L,11:36,Exactly Jen. Thank you.
Chris Leeds,11:43,I have found myself spiraling to a very dark place... I am a POC but I am white passing... the fact that I am white passing... I don't know how to express how horrible I feel. Privilege I shouldn't
Erin McManaway,11:45,We have to look at the broader context as to why this is happening. Riots also seem to be the catalyst for change such as the Stonewall riots and the Boston Tea Party
Briana Schino,11:53,Can we talk about Tati?
Nikki Crayons,11:54,i object to your use of the word thug rdferring this situation in general
Tiffany PK,11:56,@Nancy when has it ever?
Read's Beauty Tripp,11:57,please don't get political that is not why I am here
Jenny K,11:57,"Yes! Vote, please God, vote."
Gina Marie Conway,11:57,How can we talk about makeup when this is going on 😢
Heather Rubino,11:57,Kylie Jenner... no longer a billionaire???
Elizabethann Ferrario,11:58,"Hi sorry late but I shall catch up !hope everyone is safe and well , my love liz from U.K. x"
Trashley Fellers,11:58,"expand on your use of the word ""Thugs"" please?"
Jocelyn Valadez,11:59,it happens all the time . it is an instinct.. sometimes i have to scream what i feel and want because if im nice i get ignored . sometimes it has to be like that.
Melissa Pellegrin,12:00,This is very hard.
Michael Diamond,12:01,Talk about James Charles
Tracie 3,12:01,Unfortunately this seems to happen with every president..
Maria Pullas,12:02,"Voting is not enough, Minneapolis is a blue state. We need real systemic change!"
Monica Favre,12:05,There have been many peaceful protests such as kneeling at football games and all people did was make fun of them and tell them to stand up. We need to listen. We need to vote.
Starla822,12:07,good morning Jen
Shannon Quinn,12:09,"I can't blame them. They've been speaking nicely, protesting peacefully, yelling, even screaming, and it didn't change things. People kneeled at a football game & people lost their ever-loving minds"
Teresa Niswander,12:10,My heart just hurts due to current situation.
AD,12:13,Let's talk about Kyle Jenner lying about being too rich lol
Unapologetically Mocha,12:14,Thug is a dog whistle for white supremacists to take action. Not sure everyone understands that.
Megan,12:25,Really can’t care about makeup with what’s going on. I’m glad you’re using this time to open for disucssion about what matters right now Jen.
Dannielle Obenchain,12:25,Watching the video made me sick to my stomach
Sharron G,12:26,Many of the looters are not from the community. Vast majority of community also do not want their community destroyed. Be fair.
Nikki Crayons,12:39,please dont say THUG
wenxinliu,12:43,"When protestors in Hong Kong burn and loot and smash buildings, the US stands with Hong Kong. But when they do the same in the US, they're all rioters and it's not the right thing to do."
Christi Rowland,12:44,I am a black woman & I do appreciate you talking about this & bringing awareness.
Noa Shaindlinger,12:45,"Many protesters vandalize statues of racists, set fire to former slave market"
Jocelyn Valadez,12:47,do you know when the huda beuty legit lashes mascara came out??
Melissa Fallenstein,12:47,They are looting Target because they have supported the Minneapolis Police Department in the past
creolegurl nola,12:51,"Peaceful demonstrations are happening, too. New Oleans."
Trashley Fellers,12:53,businesses are insured
Ameerah Muhammad,12:57,It must be nice to have the privilege to ignore what’s going on and just be able to focus on makeup.
LaNae Reinertsen,12:58,They destroyed the rich shopping district in Charleston. The rage is real.
Michael Diamond,12:58,can u move on already
Mariah Beverage,12:59,The protests aren’t the point. Their message is!
Shirley,13:01,As a grandmother to 2 beautiful African American bi-racial girls one is 6 and the other 9 who know nothing of racism how on earth do I protect them? 💔
Sandra M. D.,13:01,The riots are organized and intentional.
Graciela,13:02,"Racism caused this, let’s all remember"
Jessica Rodriguez,13:05,"I don’t see how Louis Vuitton, Dior, and Jewelry stores getting broken into and robbed are all in honor of black lives matter. It’s not.. it’s for personal benefit"
IndigobluBeauty,13:05,I’m here in the twin cities and I’m from Minneapolis there also white supremacist groups starting the destruction
nodhill,13:06,Who is doing the destroying? We dont really know.
Jennifer Ruiz,13:07,exactly.. people need to keep their eyes open to whats really happening versus what is being reported..
Jennifer Gould,13:09,isn't it great how the makeup industry is actively is rallying for George Floyd and his family.
Banshee Muse,13:09,"This is no longer peaceful protest, and people have the right to use deadly force to protect themselves and property."
Unapologetically Mocha,13:11,There were lots of infiltrators that were causing most of the violence and destruction.
Grace Adams,13:11,"Makeup is the last thing on my mind right now, thank you so much for speaking up on this"
Cosmic Slice,13:12,"Reading ""Talking to Strangers"" is really eye opening. Gladwell wrote it because of Sandra Bland's death."
JuliaGoes,13:15,"We as a country didn’t listen to the peaceful protests, this is America’s own doing. And while it sucks we need to listen, and now attention has been grabbed"
